Rk,School,G,Pts,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Total_Plays,Total_Yds,Total_Avg,Year,tot_pass_yds,tot_pass_td,tot_pass_cmp,tot_rush_yds,tot_rush_td,tot_rush_atmp
1,Air Force,12,18.9,5.2,11.5,44.9,89.8,0.4,56.1,224,4,2,67.6,313.8,4.6,2024,1078,5,62,2688,24,673
2,Akron,12,20.4,19.5,34.9,55.8,232.4,1.3,28.8,100.3,3.5,0.9,63.8,332.8,5.2,2024,2789,16,234,1204,11,346
3,Alabama,13,33.8,17.4,27.2,63.8,236.4,1.3,37.5,173.8,4.6,3.2,64.8,410.2,6.3,2024,3073,17,226,2259,42,488
4,Appalachian State,11,26.6,19.8,35.6,55.6,273,2.1,35.2,153.8,4.4,1.2,70.8,426.8,6,2024,3003,23,218,1692,13,387
5,Arizona,12,21.8,21.8,36.4,60,247.9,1.5,27.9,106.6,3.8,0.9,64.3,354.5,5.5,2024,2975,18,262,1279,11,335
6,Arizona State,14,32.9,16.7,27.3,61.3,229.5,1.9,42.2,199.9,4.7,2.1,69.5,429.4,6.2,2024,3213,27,234,2799,29,591
7,Arkansas,13,30.9,19.6,31.8,61.6,274.7,1.2,38,184.8,4.9,2.6,69.8,459.5,6.6,2024,3571,16,255,2402,34,494
8,Arkansas State,13,25.8,21.1,34,62,227.5,1.5,37.5,156.9,4.2,1.4,71.5,384.4,5.4,2024,2958,20,274,2040,18,488
9,Army,14,31.1,4.7,8.7,54.1,80.6,0.7,54.6,300.5,5.5,3.4,63.3,381.1,6,2024,1128,10,66,4207,48,764
10,Auburn,12,27.8,19.2,30.8,62.3,263.9,2.3,33.7,165.5,4.9,1.1,64.4,429.4,6.7,2024,3167,28,230,1986,13,404
11,Ball State,12,25.3,23.3,36.6,63.8,245,2.2,31.1,102.8,3.3,0.8,67.7,347.8,5.1,2024,2940,26,280,1234,10,373
12,Baylor,13,34.4,19.5,31.8,61.3,261.3,2.4,37.8,178.8,4.7,1.9,69.5,440.1,6.3,2024,3397,31,254,2324,25,491
13,Boise State,14,37.3,18.6,29.6,62.9,225.6,1.6,39.6,240.4,6.1,3.1,69.3,466,6.7,2024,3158,22,260,3366,43,554
14,Boston College,13,28.2,15.9,25.4,62.7,199.3,1.8,40.7,166.1,4.1,1.8,66.1,365.4,5.5,2024,2591,23,207,2159,23,529
15,Bowling Green,13,27.1,21.2,32.2,65.9,240.6,1.5,32.7,136.8,4.2,1.5,64.9,377.4,5.8,2024,3128,20,276,1778,20,425
