Rank,Team,Rating,Hi,Lo,Last,Year
1,Indiana ,17.3,1,68,2,2025
2,Ohio St ,16,2,18,14,2025
3,Alabama ,15.5,1,21,1,2025
4,Oregon ,15.4,1,71,3,2025
5,Texas ,13.8,1,20,8,2025
6,Florida ,13.8,2,76,5,2025
7,Georgia ,13.7,1,92,9,2025
8,Oklahoma ,13.3,4,89,4,2025
9,Texas A&M ,13.1,5,69,11,2025
10,Iowa ,13,9,100,12,2025
11,Notre Dame ,12.8,1,38,7,2025
12,Penn St ,12.7,3,97,10,2025
13,USC ,12.6,6,90,6,2025
14,LSU ,12.3,2,24,16,2025
15,Texas Tech ,11.7,15,112,22,2025
16,BYU ,11.6,16,94,21,2025
17,Auburn ,11.5,2,29,19,2025
18,Vanderbilt ,11.5,15,115,20,2025
19,Arkansas ,11.3,15,119,15,2025
20,South Carolina ,11.3,9,62,13,2025
21,Miami ,11.2,2,40,25,2025
22,Michigan ,11,2,80,29,2025
23,Missouri ,11,17,125,17,2025
24,Wisconsin ,10.5,16,121,18,2025
25,Mississippi ,10.4,10,70,24,2025
26,Tennessee ,10.1,10,34,23,2025
27,Utah ,10,18,71,26,2025
28,Kentucky ,9.6,12,52,27,2025
29,Illinois ,9.4,10,122,28,2025
30,Washington ,9.3,25,105,31,2025
31,Mississippi St ,9.2,29,73,30,2025
32,UCLA ,8.7,13,60,32,2025
33,Florida St ,8.1,2,47,33,2025
34,Arizona St ,7.2,22,95,36,2025
35,Nebraska ,7,4,42,39,2025
36,Kansas St ,6.8,2,51,35,2025
37,Baylor ,6.7,1,52,34,2025
38,Rutgers ,6.6,38,115,43,2025
39,Kansas ,6.5,23,131,46,2025
40,Pittsburgh ,6.4,40,115,45,2025
41,NC State ,6.3,34,119,38,2025
42,Northwestern ,6.3,27,79,44,2025
43,Iowa St ,6.2,1,55,37,2025
44,Michigan St ,6.1,40,117,40,2025
45,Louisville ,6.1,19,99,50,2025
46,Clemson ,6,4,52,52,2025
47,TCU ,6,30,74,41,2025
48,Cincinnati ,6,3,56,42,2025
49,Arizona ,5.8,44,115,48,2025
50,Purdue ,5.4,44,133,47,2025
51,SMU ,5.1,20,101,49,2025
52,West Virginia ,5.1,36,119,51,2025
53,Virginia Tech ,5,10,63,53,2025
54,Minnesota ,4.5,36,116,54,2025
55,Colorado ,4.5,8,55,55,2025
56,Georgia Tech ,4.1,10,64,61,2025
57,Stanford ,3.6,33,132,60,2025
58,Duke ,3.6,36,129,59,2025
59,S Florida ,3.3,8,76,57,2025
60,Maryland ,2.8,58,132,58,2025
61,Boston College ,2.5,34,110,62,2025
62,Syracuse ,2.5,11,62,56,2025
63,Houston ,2.2,53,131,65,2025
64,Virginia ,2.1,39,87,63,2025
65,UCF ,2.1,59,123,66,2025
66,Wake Forest ,0.6,62,133,67,2025
67,Washington St ,0.5,59,122,64,2025
68,Oklahoma St ,-0.1,60,130,69,2025
69,California ,-0.1,47,96,70,2025
70,Tulane ,-0.7,39,72,68,2025
71,North Carolina ,-1.2,21,94,72,2025
72,Boise St ,-1.5,8,73,71,2025
73,UTSA ,-2.8,9,80,73,2025
74,E Carolina ,-2.8,10,92,74,2025
75,Navy ,-3.4,55,133,79,2025
76,N Texas ,-3.6,72,133,78,2025
77,Memphis ,-4.1,65,125,75,2025
78,J Madison ,-4.3,44,117,77,2025
79,Utah St ,-4.3,67,119,81,2025
80,Army ,-5,62,127,83,2025
81,Old Dominion ,-5.2,16,89,76,2025
82,New Mexico ,-5.6,17,132,82,2025
83,Colorado St ,-5.6,19,105,80,2025
84,Temple ,-5.9,82,135,87,2025
85,UNLV ,-6.1,70,136,85,2025
86,Air Force ,-6.4,74,136,84,2025
87,Oregon St ,-6.6,27,91,91,2025
88,San Diego St ,-6.8,85,136,93,2025
89,Toledo ,-7.2,28,94,86,2025
90,Fresno St ,-7.3,3,103,89,2025
91,Texas St ,-7.4,57,99,88,2025
92,Hawai'i ,-7.5,57,134,92,2025
93,San Jose St ,-7.7,59,118,95,2025
94,W Michigan ,-7.7,14,121,94,2025
95,Florida Atlantic ,-7.8,46,128,96,2025
96,Troy ,-7.9,69,121,104,2025
97,Nevada ,-8.1,6,133,97,2025
98,Miami OH ,-8.2,7,114,90,2025
99,UAB ,-8.5,98,132,98,2025
100,Wyoming ,-8.7,87,134,101,2025
101,Ohio ,-9.2,9,102,102,2025
102,Marshall ,-9.3,5,124,100,2025
103,Rice ,-9.5,60,129,106,2025
104,Tulsa ,-9.6,97,134,99,2025
105,Georgia So ,-9.6,19,109,108,2025
106,UConn ,-9.7,70,129,109,2025
107,Arkansas St ,-9.8,82,124,105,2025
108,Coastal Car ,-9.8,32,117,107,2025
109,Kennesaw St ,-10,50,133,115,2025
110,Charlotte ,-10,73,136,114,2025
111,Georgia St ,-10.1,14,120,117,2025
112,S Alabama ,-10.2,61,117,112,2025
113,Louisiana Tech ,-10.4,75,128,111,2025
114,Missouri St ,-10.4,20,127,110,2025
115,Louisiana ,-10.5,70,131,103,2025
116,Liberty ,-10.6,65,120,116,2025
117,Southern Miss ,-10.8,48,118,113,2025
118,W Kentucky ,-10.8,90,135,119,2025
119,C Michigan ,-11.4,43,128,128,2025
120,Florida Intl ,-11.6,86,135,120,2025
121,Delaware ,-11.9,94,134,122,2025
122,UL Monroe ,-11.9,104,135,124,2025
123,E Michigan ,-12.1,56,126,126,2025
124,App State ,-12.1,87,134,121,2025
125,Sam Houston ,-12.3,61,133,123,2025
126,Jacksonville St ,-12.4,42,129,129,2025
127,N Illinois ,-12.6,85,127,118,2025
128,Bowling Green ,-12.9,72,133,125,2025
129,Ball St ,-13,52,135,131,2025
130,Middle Tenn ,-13.1,94,131,130,2025
131,Buffalo ,-13.8,6,135,133,2025
132,New Mexico St ,-13.8,99,136,127,2025
133,UTEP ,-14.4,80,133,132,2025
134,Kent St ,-14.7,103,136,134,2025
135,Akron ,-16.2,85,135,135,2025
136,UMass ,-17.1,91,136,136,2025
1,Georgia,17.6,1,9,1,2024
2,Ohio St,17.4,2,56,9,2024
3,Texas,14.9,3,44,3,2024
4,Notre Dame,14.4,3,32,21,2024
5,Alabama,13.2,2,39,2,2024
6,Florida,13.2,3,28,4,2024
7,Tennessee,12.9,4,62,11,2024
8,Penn St,12.5,6,32,16,2024
9,LSU,12.5,3,33,7,2024
10,Oregon,12,4,71,18,2024
11,Michigan,11.9,4,31,14,2024
12,South Carolina,11.9,3,59,6,2024
13,Oklahoma,11.9,3,111,5,2024
14,Texas A&M,11.7,3,21,10,2024
15,Mississippi,11.6,5,67,8,2024
16,USC,11.1,3,34,15,2024
17,Kentucky,10.1,3,67,12,2024
18,Indiana,9.4,18,102,42,2024
19,UCLA,9.3,7,69,20,2024
20,Louisville,9.1,9,124,13,2024
21,Vanderbilt,9,16,92,17,2024
22,Clemson,8.9,1,38,23,2024
23,Arkansas,8.8,8,119,19,2024
24,Kansas,8.5,17,120,22,2024
25,Missouri,8.1,17,115,26,2024
26,Arizona St,7.9,26,74,33,2024
27,Iowa St,7.7,21,83,29,2024
28,Washington,7.6,28,117,38,2024
29,Auburn,7.6,21,81,24,2024
30,Minnesota,7.5,4,86,35,2024
31,Wisconsin,7.2,20,107,30,2024
32,Miami,7.2,12,32,28,2024
33,SMU,7,27,132,41,2024
34,BYU,7,22,104,32,2024
35,Georgia Tech,7,1,54,25,2024
36,Kansas St,7,10,81,27,2024
37,Iowa,6.8,11,91,47,2024
38,Baylor,6.8,17,109,40,2024
39,Mississippi St,6.7,23,121,31,2024
40,Nebraska,6.6,32,97,37,2024
41,Houston,6.5,6,61,34,2024
42,UCF,6.4,22,116,39,2024
43,Illinois,6.2,30,124,51,2024
44,Virginia Tech,6.1,15,50,36,2024
45,Colorado,6,36,118,43,2024
46,Cincinnati,5.7,40,97,44,2024
47,West Virginia,5.4,2,47,46,2024
48,Utah,5.3,13,114,48,2024
49,Florida St,5.1,2,49,45,2024
50,TCU,4.6,8,57,49,2024
51,Rutgers,4.6,45,131,58,2024
52,Texas Tech,4.5,35,79,50,2024
53,Maryland,4.5,41,80,55,2024
54,Oklahoma St,4.1,19,85,52,2024
55,Boston College,3.6,8,64,54,2024
56,Michigan St,3.2,29,110,61,2024
57,Virginia,3.1,53,105,53,2024
58,Northwestern,2.9,45,102,62,2024
59,Syracuse,2.7,40,84,57,2024
60,Stanford,2.7,6,81,59,2024
61,Arizona,2.6,30,125,60,2024
62,Pittsburgh,2.5,47,99,56,2024
63,Duke,2.2,59,119,63,2024
64,Tulane,1.6,14,122,67,2024
65,California,1,32,96,64,2024
66,Boise St,0.6,11,72,70,2024
67,Wake Forest,0.4,60,123,66,2024
68,NC State,-0.2,30,117,65,2024
69,Purdue,-0.2,55,134,69,2024
70,North Carolina,-0.5,3,83,68,2024
71,Navy,-0.9,70,134,73,2024
72,UNLV,-1.1,19,79,71,2024
73,Old Dominion,-3.1,25,109,72,2024
74,Memphis,-3.7,37,104,77,2024
75,Marshall,-4.4,48,132,74,2024
76,Rice,-4.7,60,112,81,2024
77,Army,-4.8,76,129,78,2024
78,Charlotte,-4.9,53,113,80,2024
79,Georgia So,-5,32,103,75,2024
80,S Florida,-5.1,18,116,79,2024
81,App State,-5.1,44,101,76,2024
82,Miami OH,-5.3,17,87,83,2024
83,Washington St,-5.4,38,113,84,2024
84,N Texas,-5.9,52,109,90,2024
85,S Alabama,-6.1,55,121,82,2024
86,Texas St,-6.2,68,104,85,2024
87,Louisiana,-6.3,63,133,89,2024
88,Ohio,-6.3,30,111,95,2024
89,Oregon St,-6.4,52,103,86,2024
